Age,Height,Weight,Income,CreditScore,Gender,Education,MaritalStatus,Occupation,SignUpDate,LastLoginTime,Location,IsSubscribed,HasHealthInsurance
34.324766512204945,144.7626030419316,150.0,20000.0,697.7746811090647,Male,Master's,Married,Engineer,2022-01-09,2024-01-01 06:00:00,San Diego,True,True
45.9277391593821,183.80597338047448,150.0,200000.0,707.0709610423231,Female,Bachelor's,Single,Other,2022-01-27,2024-01-01 20:00:00,New York,True,False
18.0,155.33701605170648,40.0,20000.0,773.0499902455418,Male,Bachelor's,Widowed,Artist,2022-02-03,2024-01-02 13:00:00,San Antonio,True,True
37.3024195362884,153.01383102509243,40.0,200000.0,744.8709028930249,Male,Bachelor's,Married,Business,2022-02-11,2024-01-02 20:00:00,New York,False,True
31.39104050551541,156.989139091937,150.0,200000.0,691.2613799367314,Male,High School,Single,Engineer,2022-02-28,2024-01-03 20:00:00,New York,False,True
30.345879857166015,173.9538743157885,40.0,200000.0,649.9546068374058,Female,High School,Married,Artist,2022-03-09,2024-01-03 21:00:00,New York,True,False
26.780944487491052,186.57702294621663,40.0,200000.0,641.1455658129902,Female,Bachelor's,Single,Teacher,2022-03-10,2024-01-04 19:00:00,Phoenix,False,True
33.97822295435923,172.98407279622,150.0,200000.0,779.2404438316916,Female,Bachelor's,Single,Doctor,2022-03-15,2024-01-05 20:00:00,San Diego,True,True
39.59721832058719,164.94000628937698,40.0,20000.0,699.928151913258,Female,PhD,Single,Engineer,2022-03-16,2024-01-07 01:00:00,Houston,True,True
19.385842124570235,186.16245712590148,40.0,20000.0,744.8909714195655,Male,High School,Single,Student,2022-04-09,2024-01-07 14:00:00,Houston,True,True
18.0,165.72090365799903,150.0,200000.0,682.1995316046853,Male,High School,Single,Student,2022-04-21,2024-01-07 16:00:00,Phoenix,True,True
38.43322645126031,174.5312041625011,40.0,200000.0,752.5045501768595,Female,High School,Single,Retired,2022-05-02,2024-01-08 09:00:00,Houston,True,True
23.930968242166802,169.4394440910433,40.0,200000.0,696.088642157745,Male,Bachelor's,Married,Business,2022-05-07,2024-01-08 13:00:00,Los Angeles,False,True
26.0232878894109,156.4216434143264,150.0,200000.0,690.7582958095296,Male,Master's,Single,Artist,2022-05-13,2024-01-08 15:00:00,Phoenix,False,True
25.184520640023095,178.1445712601742,40.0,200000.0,639.1203307245481,Female,High School,Single,Other,2022-05-19,2024-01-08 23:00:00,Philadelphia,True,True
41.04177927516394,200.0,150.0,200000.0,692.9890302714487,Female,Master's,Married,Engineer,2022-05-24,2024-01-09 00:00:00,Phoenix,True,True
34.40473585906692,174.455386734482,150.0,20000.0,607.9128700677788,Male,High School,Married,Business,2022-05-31,2024-01-09 07:00:00,Los Angeles,False,False
19.411042366908376,167.21631384134537,150.0,200000.0,724.044434837032,Male,High School,Married,Student,2022-06-02,2024-01-10 17:00:00,New York,False,True
26.893633104424307,188.89140811402902,150.0,200000.0,593.4142107315034,Female,High School,Divorced,Engineer,2022-06-05,2024-01-11 08:00:00,Los Angeles,False,False
32.49951021722243,165.53373828640403,40.0,200000.0,735.8917309999166,Female,Bachelor's,Married,Doctor,2022-06-07,2024-01-11 08:00:00,New York,True,True
18.0,169.47571317055588,150.0,20000.0,651.8898168076807,Male,Master's,Single,Retired,2022-06-11,2024-01-11 17:00:00,San Diego,True,True
20.418546014021604,187.72582123879985,150.0,200000.0,681.3295394150813,Female,Master's,Divorced,Business,2022-06-12,2024-01-12 07:00:00,Chicago,True,False
27.434915305438405,144.79941229505712,150.0,20000.0,712.8681153537915,Female,Master's,Married,Teacher,2022-06-14,2024-01-12 14:00:00,Chicago,True,True
27.24458905544064,193.45830361711924,150.0,20000.0,641.1926802523914,Female,High School,Single,Engineer,2022-06-29,2024-01-12 20:00:00,Los Angeles,True,True
46.20165195276414,186.275121903996,150.0,200000.0,811.6542043949192,Male,Bachelor's,Widowed,Student,2022-07-06,2024-01-13 16:00:00,New York,True,True
23.542038639950928,198.64555599901752,40.0,200000.0,598.9534825642656,Female,High School,Single,Engineer,2022-07-07,2024-01-13 21:00:00,Los Angeles,True,True
49.765791421971315,142.00050289466475,40.0,20000.0,646.4909050534576,Male,Bachelor's,Single,Business,2022-07-19,2024-01-13 23:00:00,Houston,True,True
21.060912002085992,188.37868195008676,40.0,20000.0,764.9323410630991,Male,Bachelor's,Married,Artist,2022-07-20,2024-01-14 09:00:00,Philadelphia,True,True
23.73355135714336,200.0,40.0,20000.0,641.9578460029395,Female,Master's,Married,Engineer,2022-07-26,2024-01-14 11:00:00,New York,True,False
24.63071780809363,188.23176599504922,40.0,20000.0,739.130141375604,Male,Master's,Married,Teacher,2022-07-28,2024-01-14 13:00:00,San Antonio,True,True
28.8055194982017,194.66893560753365,40.0,200000.0,664.5712594247262,Female,Other,Single,Teacher,2022-08-10,2024-01-14 20:00:00,Houston,True,True
35.35328692032902,169.96068639363338,40.0,20000.0,682.7335579702434,Male,High School,Single,Retired,2022-08-21,2024-01-14 20:00:00,Houston,False,True
20.137491875955604,170.200255954214,150.0,20000.0,709.7339063556669,Female,Master's,Single,Student,2022-09-03,2024-01-14 23:00:00,Phoenix,False,True
21.243026311812194,165.49905841393425,40.0,20000.0,710.425586346286,Female,High School,Single,Student,2022-09-13,2024-01-15 09:00:00,New York,False,True
36.59331146813691,164.3969956264614,40.0,200000.0,772.068102993383,Female,Other,Married,Engineer,2022-09-26,2024-01-16 00:00:00,Dallas,True,True
34.36625177985494,190.59642388486304,150.0,200000.0,740.4025710086438,Female,Bachelor's,Single,Engineer,2022-10-08,2024-01-16 12:00:00,San Antonio,True,True
18.0,165.30939248247608,40.0,200000.0,774.5555911795686,Male,High School,Widowed,Doctor,2022-10-11,2024-01-16 13:00:00,Philadelphia,False,True
38.023248319556366,156.24117555367698,40.0,200000.0,682.4812071829575,Female,High School,Married,Engineer,2022-10-21,2024-01-16 16:00:00,Dallas,True,False
35.84878852827462,148.45860733366308,150.0,20000.0,693.4376572187377,Female,Bachelor's,Single,Business,2022-10-27,2024-01-17 02:00:00,Houston,True,False
28.430762498411912,164.03269996451175,40.0,200000.0,601.225212474795,Male,Master's,Married,Engineer,2022-11-11,2024-01-17 20:00:00,Dallas,True,False
29.561223647437295,166.08751153678776,150.0,20000.0,759.5574479310676,Male,High School,Single,Teacher,2022-11-15,2024-01-17 21:00:00,New York,True,False
28.141409697152277,188.45258859207533,40.0,20000.0,735.9920390054679,Female,Bachelor's,Married,Artist,2022-11-21,2024-01-19 04:00:00,Chicago,True,False
45.53777578823119,181.21456116824405,150.0,200000.0,725.5434755792892,Female,High School,Single,Teacher,2022-12-16,2024-01-19 07:00:00,Philadelphia,True,True
